product_id,category_id,item_no,barcode,name,comp_nm,cat_1,cat_2,cat_3,cat_4
614,49,15049,8801037089059,동서 오레오 초콜릿 샌드위치 쿠키 100G,동서식품,과자,비스킷,샌드,샌드
704,50,25029,8801019314759,해태 사브레 252G,해태,과자,비스킷,쿠키,쿠키
707,50,25043,8801117277611,오리온 다이제 초코 312G,오리온,과자,비스킷,쿠키,쿠키
719,50,25594,8801117127503,오리온 다이제미니320G,오리온,과자,비스킷,쿠키,쿠키
721,50,25597,8801117127008,오리온 촉촉한초코칩 320G,오리온,과자,비스킷,쿠키,쿠키
811,50,65723,8801062517916,롯데칙촉오리지날,롯데제과,과자,비스킷,쿠키,쿠키
836,50,80098,8801019309571,해태버터링86G,해태제과식품,과자,비스킷,쿠키,쿠키
839,50,80103,8801062009572,롯데마가렛트176G,롯데제과,과자,비스킷,쿠키,쿠키
862,52,20085,8801117109400,오리온고소미80G,오리온,과자,비스킷,크래커,크래커
931,52,55029,8801062634453,롯데 빈츠 204G,롯데제과,과자,비스킷,크래커,크래커
933,52,55050,8801062521890,롯데빠다코코낫,롯데제과,과자,비스킷,크래커,크래커
934,52,55053,8801117280314,오리온다이제,오리온,과자,비스킷,크래커,크래커
954,52,A10032,8801062521920,롯데)제크,롯데제과,과자,비스킷,크래커,크래커
981,54,25668,8801117282707,오리온 예감 치즈그라탕맛 204G,오리온,과자,스낵,감자스낵,감자스낵
984,54,30061,8801043036436,농심포스틱84G,농심,과자,스낵,감자스낵,감자스낵
993,54,40092,8801043036139,농심감자깡75G,농심,과자,스낵,감자스낵,감자스낵
995,54,40147,8801117762308,오리온오감자양념바베큐맛50G,오리온,과자,스낵,감자스낵,감자스낵
1005,54,50061,8801117775001,오리온스윙칩볶음고추장60G,오리온,과자,스낵,감자스낵,감자스낵
1006,54,50072,8801117282202,오리온)예감오리지날2P 64G,오리온,과자,스낵,감자스낵,감자스낵
1028,54,90075,8801117752804,오리온)오감자감자그라탕맛50G,오리온,과자,스낵,감자스낵,감자스낵
1036,55,20167,8801019606328,해태)오사쯔60G,해태제과식품,과자,스낵,고구마스낵,고구마스낵
1105,59,10060,8801019311345,해태포키블루베리41G,해태제과식품,과자,스낵,스틱과자,스틱과자
1112,59,25013,8801062637669,롯데 아몬드 빼빼로 132G,롯데제과,과자,스낵,스틱과자,스틱과자
1126,59,40105,8801062012701,롯데)초코빼빼로54G,롯데제과,과자,스낵,스틱과자,스틱과자
1127,59,40106,8801062012725,롯데)아몬드빼빼로37G,롯데제과,과자,스낵,스틱과자,스틱과자
1128,59,40110,8801062012756,롯데)누드초코빼빼로50G,롯데제과,과자,스낵,스틱과자,스틱과자
1129,59,45031,8801062637607,롯데 오리지날 빼빼로 184G,롯데제과,과자,스낵,스틱과자,스틱과자
1159,59,80087,8801019310928,해태포키딸기41G,해태제과식품,과자,스낵,스틱과자,스틱과자
1160,59,80088,8801019309946,해태)포키극세44G,해태,과자,스낵,스틱과자,스틱과자
1163,59,80092,8801019314001,해태)포키46G,해태제과식품,과자,스낵,스틱과자,스틱과자
1353,63,10094,8801111180993,크라운)콘초66G,크라운제과,과자,스낵,옥수수스낵,옥수수스낵
1354,63,10095,8801043036634,농심바나나킥75G,농심,과자,스낵,옥수수스낵,옥수수스낵
1360,63,25197,8801062888825,롯데제과)도리토스나쵸치즈맛40G,롯데제과,과자,스낵,옥수수스낵,옥수수스낵
1368,63,40090,8801062289936,롯데치토스스모키바베큐맛88G,롯데제과,과자,스낵,옥수수스낵,옥수수스낵
1369,63,40091,8801062380213,꼬깔콘군옥수수맛72G,롯데제과,과자,스낵,옥수수스낵,옥수수스낵
1375,63,50117,8801111611312,크라운)콘칩(군옥수수)70G,크라운제과,과자,스낵,옥수수스낵,옥수수스낵
1380,63,90124,8801073310711,삼양)사또밥67G,삼양식품,과자,스낵,옥수수스낵,옥수수스낵
1384,64,10092,8801043036337,농심오징어집83G,농심,과자,스낵,일반스낵,일반스낵
1386,64,10177,8801062385911,롯데)오징어땅콩90G,롯데제과,과자,스낵,일반스낵,일반스낵
1407,64,20171,8801043036399,농심알새우칩68G,농심,과자,스낵,일반스낵,일반스낵
1426,64,30060,8801043036313,농심벌집핏자90G,농심,과자,스낵,일반스낵,일반스낵
1427,64,30063,8801111770132,빙그레꽃게랑오리지널맛70G,빙그레,과자,스낵,일반스낵,일반스낵
1430,64,30066,8801043036177,농심꿀꽈배기90G,농심,과자,스낵,일반스낵,일반스낵
1439,64,30119,8801045560038,오뚜기뿌셔뿌셔불고기90G,오뚜기,과자,스낵,일반스낵,일반스낵
1440,64,30120,8801062381937,롯데)꼬깔콘매콤달콤72G,롯데제과,과자,스낵,일반스낵,일반스낵
1446,64,35051,8801062013708,롯데 칸쵸 스윗밀크 170G,롯데제과,과자,스낵,일반스낵,일반스낵
1459,64,40095,8801043035989,농심새우깡90G,농심,과자,스낵,일반스낵,일반스낵
1464,64,40156,8801019603426,해태맛동산165g,해태,과자,스낵,일반스낵,일반스낵
1493,64,50062,8801043036238,농심자갈치90G,농심,과자,스낵,일반스낵,일반스낵
1527,64,70096,8801043036535,농심닭다리후라이드66G,농심,과자,스낵,일반스낵,일반스낵
1528,64,70125,8801043031431,농심)쫄병스낵매콤한맛82G,농심,과자,스낵,일반스낵,일반스낵
1529,64,70126,8801045560052,오뚜기뿌셔뿌셔양념치킨맛90G,오뚜기,과자,스낵,일반스낵,일반스낵
1538,64,80099,8801117141301,오리온고래밥볶음46G,오리온,과자,스낵,일반스낵,일반스낵
1543,64,90076,8801111610636,크라운)죠리퐁74G,크라운제과,과자,스낵,일반스낵,일반스낵
1545,64,90125,8801043036597,농심양파링84G,농심,과자,스낵,일반스낵,일반스낵
1761,78,10174,8801062334285,롯데폭신폭신말랑카우딸기우유158G,롯데제과,과자,캔디,소프트캔디,소프트캔디
1762,78,10265,8801111912082,크라운마이쮸딸기92G,크라운제과,과자,캔디,소프트캔디,소프트캔디
1775,78,30114,8801111188036,크라운)새콤달콤복숭아29G,크라운,과자,캔디,소프트캔디,소프트캔디
1787,78,40133,8801111187916,크라운)마이쮸사과44G,크라운,과자,캔디,소프트캔디,소프트캔디
1788,78,40134,8801111187893,크라운)마이쮸포도44G,크라운,과자,캔디,소프트캔디,소프트캔디
1801,78,50116,8801062013395,롯데)말랑카우딸기79G,롯데제과,과자,캔디,소프트캔디,소프트캔디
1879,80,60125,8801117339302,오리온)왕꿈틀이67G,오리온,과자,캔디,젤리,젤리
1996,88,15035,8801062632114,롯데 몽쉘 오리지날 생크림케이크 384G,롯데제과,과자,파이,케이크,케이크
2008,88,25679,8801117540418,오리온 후레쉬베리딸기 336G,오리온,과자,파이,케이크,케이크
2039,88,65029,8801117548414,오리온 오뜨쇼콜라300G,오리온,과자,파이,케이크,케이크
2040,88,65031,8801117548612,오리온 오뜨치즈288G,오리온,과자,파이,케이크,케이크
2046,88,65629,8801117555917,마켓오리얼브라우니12개입,마켓오리,과자,파이,케이크,케이크
2047,88,65727,8801062632138,롯데몽쉘카카오생크림케이크12봉,롯데제과,과자,파이,케이크,케이크
2059,89,20141,8801019313226,해태오예스360G,해태,과자,파이,파이,파이
2080,89,80105,8801062273294,롯데몽쉘크림192G,롯데제과,과자,파이,파이,파이
669,49,70107,8801111917421,크라운산도딸기크림치즈161G,크라운제과,과자,비스킷,샌드,샌드
724,50,25600,8801117122409,오리온 초코칩쿠키 256G,오리온,과자,비스킷,쿠키,쿠키
758,50,45038,8801111115254,크라운 화이트하임 284G,크라운제과,과자,비스킷,쿠키,쿠키
785,50,55032,8801111115223,크라운 초코하임 284G,크라운제과,과자,비스킷,쿠키,쿠키
837,50,80100,8801111186117,크라운쿠크다스화이트128G,크라운제과,과자,비스킷,쿠키,쿠키
838,50,80101,8801111186087,크라운쿠크다스커피128G,크라운제과,과자,비스킷,쿠키,쿠키
961,54,10210,8801117760106,오리온)포카칩오리지널66G,오리온,과자,스낵,감자스낵,감자스낵
968,54,20127,8886467100031,프링글스치즈맛110G,농심,과자,스낵,감자스낵,감자스낵
979,54,25617,8801043010047,농심 수미칩 오리지널 85G,농심,과자,스낵,감자스낵,감자스낵
985,54,30067,8801117760304,오리온)포카칩양파66G,오리온,과자,스낵,감자스낵,감자스낵
989,54,30292,8886467105357,프링글스양파맛 53G,농심,과자,스낵,감자스낵,감자스낵
996,54,40148,8801043019675,농심수미칩어니언55G,농심,과자,스낵,감자스낵,감자스낵
1029,54,90123,8801019606540,해태허니버터칩60G,해태제과식품,과자,스낵,감자스낵,감자스낵
1445,64,35050,8801019313677,해태 홈런볼 티라미수 146G,해태,과자,스낵,일반스낵,일반스낵
2308,115,10103,8801045572833,오뚜기참깨라면(컵),오뚜기,라면,용기면,국물용기라면,일반라면
3074,173,40312,8801052435596,청정원순창초고추장300G,청정원,소스/분말/조미료,장류,고추장,고추장
299,14,50138,8801045291314,오뚜기3분쇠고기짜장200G,오뚜기,간편식,레토르트,즉석카레/짜장,즉석짜장
308,16,60161,8801045312316,오뚜기3분쇠고기카레200G,오뚜기,간편식,레토르트,즉석카레/짜장,즉석카레/짜장
2182,103,25054,8801045570235,오뚜기 새우탕면 110G,오뚜기,라면,봉지면,국물봉지라면,일반라면
2190,103,30124,8801073102538,삼양)삼양라면120G(봉지),삼양식품,라면,봉지면,국물봉지라면,일반라면
2286,109,70133,8801043015226,농심올리브짜파게티140G,농심,라면,봉지면,비빔봉지라면,짜장라면
2310,115,15823,8801043015776,농심 새우탕컵(소) 67G,농심,라면,용기면,국물용기라면,일반라면
2324,115,35161,8801043015981,농심)신라면큰사발면114G,농심,라면,용기면,국물용기라면,일반라면
2349,120,45169,8801043015691,농심)사리곰탕컵61G,농심,라면,용기면,비빔용기라면,일반라면
2357,121,20113,8801043016049,농심짜파게티큰사발123G,농심,라면,용기면,비빔용기라면,짜장라면
3113,178,45095,8801007092546,해찬들 고기전용쌈장 200G,씨제이제일제당,소스/분말/조미료,장류,쌈장,쌈장
4724,269,10038,8801056755010,롯데밀키스500ML,롯데칠성음료,음료,탄산음료,혼합탄산,혼합탄산
4740,269,20033,8801094412005,코카토레타500ML,코카콜라음료,음료,탄산음료,혼합탄산,혼합탄산
2337,115,90088,8801043016025,농심육개장큰사발110G,농심,라면,용기면,국물용기라면,일반라면
4029,234,80012,8801105908787,해태)코코팜화이트요구르트240,해태,음료,과채음료,과일음료,과일음료
